0x1093f8a423e5f79e16968ae13c307572128d1fd5,, Heaven Computer,HEAVEN,18
0xbec6cf25afb79b975e57b93f3216e468f8fed910,,ImmunityToken,IMTY,18
0xc669928185dbce49d2230cc9b0979be6dc797957,,BitTorrent,BTT,18
0xddb2c01fe9ac4807ff097376f74bd0f83559c6ea,,Akutar Mint Pass Deck,D-AKUTARMP,18
0xbe80ceed72e1798c631fcd92f611367abd7f836f,,Coin98 Insights,INS,18
0x591127253e40d4f63bf29ccf3d81fd062a149c8c,,TTX METAVERSE,XMETA,18
0x33d63ba1e57e54779f7ddaeaa7109349344cf5f1,,DATA Economy Index,DATA,18
0x78e09c5ec42d505742a52fd10078a57ea186002a,,Twerky Club,TWERKY,18
0x0f5a897d01e43f30f500cb082277bc0b6d2e6cf6,,Terrabyte Network Token,TNT,8
0x8064d9ae6cdf087b1bcd5bdf3531bd5d8c537a68,,BoringDAO BTC,oBTC,18
0x5bc25f649fc4e26069ddf4cf4010f9f706c23831,,DefiDollar,DUSD,18
0x04f2694c8fcee23e8fd0dfea1d4f5bb8c352111f,,Staked Olympus,sOHM,9
0x69af81e73a73b40adf4f3d4223cd9b1ece623074,,Mask Network,MASK,18
0xc3589f56b6869824804a5ea29f2c9886af1b0fce,,Honey,HNY,18
0x5a705745373a780814c379ef17810630d529efe0,,ProjectSenpai,SENPAI,18
0x1117ac6ad6cdf1a3bc543bad3b133724620522d5,,moda,MODA,18
0xc22c6c6e1c78d1996b81782ebe750d96721ba4ec,,Proof of Beauty,POB,18
0x031bbecc1b4a541aa8170e3dfbbd51c279bf4368,,Tigerwallet Token,TWT,18
0xe2fb6529ef566a080e6d23de0bd351311087d567,,Covesting,COV,18
0x17163d305866c7e02004235ecb3921fd5b5e5d84,,Lost Souls Sanctuary,SOUL,18
0x0f5d2fb29fb7d3cfee444a200298f468908cc942,,Decentraland MANA,MANA,18
0x9edde862c41c5f63c71fc95b614d1714246109db,,The Picaroons,PICA,18
0xf7b098298f7c69fc14610bf71d5e02c60792894c,,Guppy,GUP,3
0x6a77bf987bf9a0af90586ca72168f8da5c0a7bce,,Bitcoin Electronic,BTCE,8
0x8d137e3337eb1b58a222fef2b2cc7c423903d9cf,,Chromie Squiggle,SQGL,18
0x283669123bd83da2536bb534e20512101c18e5d8,,Bitpayer Token,BPT,9
0xf65b5c5104c4fafd4b709d9d60a185eae063276c,,Truebit,TRU,18
0x373acda15ce392362e4b46ed97a7feecd7ef9eb8,,Squiggle DAO Token,SQUIG,4
0x8dd4228605e467671941ffb4cae15cf7959c8d9d,,Ziticoin,ZITI,8
0xdb726152680ece3c9291f1016f1d36f3995f6941,,Media Network Token,MEDIA,6
0x4d0c808d21c56e91bdf61a78245231e9c1c5e027,,1oakToken,OAK,18
0x82a77710495a35549d2add797412b4a4497d33ef,,DOGZ,DOGZ,18
0xe41d2489571d322189246dafa5ebde1f4699f498,,0x Protocol Token,ZRX,18
0x7f0693074f8064cfbcf9fa6e5a3fa0e4f58ccccf,,we love gm,gm,18
0x07bac35846e5ed502aa91adf6a9e7aa210f2dcbe,,erowan,erowan,18
0x0f956036a60e141c68bca12f1c6c2b458a56bbb2,,Gravitas.Financial,GIFT,18
0x62c30556fde78b3423075758dc3fb74e2eccbfe4,,Cypher City,CYPHER,18
